小区名称,小区参考均价,90天成交数,当前出租数,所在地区,详细地址,建成年份
电信宿舍,"('7035', '元/m')",90天成交0套,2套正在出租,雨花,左家塘,1997年建成
砂子塘野坡社区石油小区,"('7039', '元/m')",90天成交0套,2套正在出租,雨花,东塘,1980年建成
电信宿舍（红花坡）,"('7048', '元/m')",90天成交0套,1套正在出租,雨花,赤岗冲,1998年建成
湖南科技职业学院教工宿舍,"('7050', '元/m')",90天成交0套,0套正在出租,雨花,喜盈门,未知年建成
景湾小区西区,"('7052', '元/m')",90天成交3套,8套正在出租,雨花,韶山南路,2004年建成
标准件总厂宿舍,"('7053', '元/m')",90天成交0套,4套正在出租,雨花,赤岗冲,1994年建成
营山佳园,"('7064', '元/m')",90天成交0套,8套正在出租,雨花,左家塘,1983年建成
窑岭村巷31号,"('7064', '元/m')",90天成交0套,0套正在出租,雨花,窑岭,未知年建成
中铁五局宿舍楼,"('7064', '元/m')",90天成交0套,2套正在出租,雨花,德思勤,1990年建成
景湾小区东区,"('7066', '元/m')",90天成交0套,6套正在出租,雨花,喜盈门,2003年建成
二十三冶家属小区,"('7069', '元/m')",90天成交0套,1套正在出租,雨花,喜盈门,1998年建成
湖南省第五工程有限公司长沙基地,"('7083', '元/m')",90天成交0套,2套正在出租,雨花,武广新城,1990年建成
公路管理局城郊分局宿舍,"('7086', '元/m')",90天成交0套,4套正在出租,雨花,雨花亭,1990年建成
锻压小区,"('7086', '元/m')",90天成交0套,2套正在出租,雨花,赤岗冲,1971年建成
外国语宿舍,"('7097', '元/m')",90天成交0套,0套正在出租,雨花,桂花村,1996年建成
环保科技大院,"('7097', '元/m')",90天成交0套,0套正在出租,雨花,喜盈门,2000年建成
雅兰小筑,"('7098', '元/m')",90天成交1套,0套正在出租,雨花,韶山南路,2009年建成
长沙环境保护职业技术学院,"('7099', '元/m')",90天成交0套,1套正在出租,雨花,喜盈门,2000年建成
物华大院,"('7106', '元/m')",90天成交1套,1套正在出租,雨花,窑岭,1993年建成
华顺大厦,"('7107', '元/m')",90天成交0套,1套正在出租,雨花,雨花亭,1992年建成
振业小区,"('7112', '元/m')",90天成交0套,0套正在出租,雨花,桂花村,1990年建成
汇富中心,"('7112', '元/m')",90天成交0套,20套正在出租,雨花,窑岭,2000年建成
燕兴小区,"('7114', '元/m')",90天成交0套,0套正在出租,雨花,桂花村,未知年建成
红星电脑电器城,"('7120', '元/m')",90天成交0套,0套正在出租,雨花,汽车南站,2002年建成
赤岗社区市政宿舍,"('7121', '元/m')",90天成交0套,1套正在出租,雨花,左家塘,1998年建成
天韵家园,"('7122', '元/m')",90天成交0套,6套正在出租,雨花,左家塘,2000年建成
湖南省委党校湖南行政学院生活区,"('7125', '元/m')",90天成交0套,2套正在出租,雨花,韶山南路,1999年建成
海华锦园,"('7133', '元/m')",90天成交0套,4套正在出租,雨花,东塘,2001年建成
省六公司宿舍,"('7133', '元/m')",90天成交0套,0套正在出租,雨花,韶山南路,1998年建成
亚商国际,"('7144', '元/m')",90天成交1套,72套正在出租,雨花,德思勤,2000年建成
回收站宿舍,"('7147', '元/m')",90天成交0套,0套正在出租,雨花,左家塘,1995年建成
融城花苑,"('7151', '元/m')",90天成交1套,6套正在出租,雨花,井湾子,2003年建成
轻工建设公司,"('7156', '元/m')",90天成交0套,0套正在出租,雨花,赤岗冲,1979年建成
湘泽苑,"('7159', '元/m')",90天成交0套,0套正在出租,雨花,窑岭,未知年建成
马王堆乡友谊村,"('7163', '元/m')",90天成交0套,0套正在出租,雨花,高桥,2000年建成
丹桂雅苑,"('7170', '元/m')",90天成交1套,1套正在出租,雨花,左家塘,2000年建成
桂花二村,"('7172', '元/m')",90天成交2套,12套正在出租,雨花,桂花村,1985年建成
爱地林苑,"('7174', '元/m')",90天成交0套,3套正在出租,雨花,韶山南路,2001年建成
庆海小区,"('7182', '元/m')",90天成交0套,3套正在出租,雨花,雨花亭,1995年建成
景芳苑公寓,"('7187', '元/m')",90天成交0套,2套正在出租,雨花,韶山南路,2005年建成
城開大厦,"('7191', '元/m')",90天成交0套,1套正在出租,雨花,雨花亭,1998年建成
雨花亭办事处宿舍,"('7203', '元/m')",90天成交0套,4套正在出租,雨花,雨花亭,1990年建成
新城农博公寓,"('7203', '元/m')",90天成交0套,0套正在出租,雨花,德思勤,2006年建成
长标宿舍,"('7208', '元/m')",90天成交0套,0套正在出租,雨花,赤岗冲,1995年建成
白沙苑,"('7214', '元/m')",90天成交2套,18套正在出租,雨花,雨花亭,2000年建成
中国农业银行宿舍（雨花亭）,"('7215', '元/m')",90天成交0套,3套正在出租,雨花,雨花亭,1993年建成
变压器宿舍,"('7217', '元/m')",90天成交1套,1套正在出租,雨花,雨花亭,1993年建成
鄱阳小区,"('7218', '元/m')",90天成交4套,36套正在出租,雨花,汽车南站,1995年建成
高桥长建市场,"('7220', '元/m')",90天成交0套,3套正在出租,雨花,左家塘,1990年建成
湖南交通职业技术学院,"('7221', '元/m')",90天成交0套,1套正在出租,雨花,韶山南路,2008年建成
中盐勘察设计院,"('7221', '元/m')",90天成交1套,5套正在出租,雨花,武广新城,1994年建成
红旗区三片,"('7223', '元/m')",90天成交0套,5套正在出租,雨花,东塘,1982年建成
中江锦城,"('7230', '元/m')",90天成交0套,6套正在出租,雨花,高桥,2000年建成
新轻联宿舍,"('7234', '元/m')",90天成交0套,0套正在出租,雨花,赤岗冲,未知年建成
金信阳光在线,"('7237', '元/m')",90天成交1套,6套正在出租,雨花,井湾子,2005年建成
省烟曹家坡宿舍,"('7238', '元/m')",90天成交0套,1套正在出租,雨花,左家塘,未知年建成
中级人民法院宿舍,"('7248', '元/m')",90天成交0套,0套正在出租,雨花,左家塘,未知年建成
苎麻小区,"('7249', '元/m')",90天成交1套,6套正在出租,雨花,雨花亭,1995年建成
阿弥岭033号,"('7251', '元/m')",90天成交0套,1套正在出租,雨花,桂花村,1997年建成
长沙锻压机床厂,"('7253', '元/m')",90天成交0套,9套正在出租,雨花,赤岗冲,1995年建成
湘水郡,"('7260', '元/m')",90天成交3套,12套正在出租,雨花,万家丽南路,2014年建成
长沙航空技术学院住宅楼,"('7271', '元/m')",90天成交0套,0套正在出租,雨花,武广新城,1985年建成
旺盛佳园,"('7272', '元/m')",90天成交0套,0套正在出租,雨花,韶山南路,2005年建成
长沙市歌舞剧院,"('7273', '元/m')",90天成交0套,0套正在出租,雨花,黄土岭,1995年建成
公交新村,"('7279', '元/m')",90天成交0套,1套正在出租,雨花,赤岗冲,1988年建成
联运公司宿舍,"('7281', '元/m')",90天成交0套,1套正在出租,雨花,赤岗冲,1991年建成
移民局宿舍,"('7282', '元/m')",90天成交0套,1套正在出租,雨花,赤岗冲,1998年建成
香巴圣地,"('7283', '元/m')",90天成交1套,2套正在出租,雨花,左家塘,1995年建成
旺坤家园,"('7283', '元/m')",90天成交1套,2套正在出租,雨花,德思勤,2007年建成
通程物流小区,"('7286', '元/m')",90天成交0套,8套正在出租,雨花,韶山南路,1995年建成
市建委宿舍,"('7298', '元/m')",90天成交0套,2套正在出租,雨花,桂花村,2000年建成
市糖酒公司宿舍,"('7298', '元/m')",90天成交0套,1套正在出租,雨花,东塘,未知年建成
